title,artist
fall at your feet,crowded house
weather with you,crowded house
tom,natalie imbruglia
truly madly deeply,savage garden
am i ever gonna see your face again,the angels
reckless,australian crawl
the boys light up,australian crawl
down under,men at work
beds are burning,midnight oil
power and the passion,midnight oil
miss freelove '69,hoodoo gurus
what's my scene,hoodoo gurus
cosby sweater,hilltop hoods
nosebleed section,hilltop hoods
pets,porno for pyras
hoops,the rubens
holy grail,hunters & collectors
do you see what i see,hunters & collectors
