title,artist
living on a prayer,bon jovi
what is love,haddaway
karma chameleon,culture club
i'm gonna be (500 miles),proclaimers
ruby,kaiser chiefs
can't get you out of my head,kylie minogue
who let the dogs out,beha men
hey ya!,outkast
what does the fox say,ylvis
baby shark,pinkfong
dragostea din tei,o-zone
barbie girl,aqua
everything is awesome!!!,JoLi
mmmbop,hanson
land of 1000 dances,wilson pickett
working class man,jimmy barnes
africa,toto
don't stop believing,journey
i'm yours,jason mraz
can you feel the love tonight,elton john
under the bridge,red hot chilli peppers
take on me,a-ha
self esteem,the offspring
poker face,lady gaga
kids,mgmt
mambo no.5,lou bega
nothing compares 2 u,sinead o'connor
call me,blondie
axel f,crazy frog
call me maybe,carly rae jepsen
girls just wanna have fun,cyndi lauper
somebody that I used to know,gotye
