title,artist
killing me softly with his song,the fugees
kiss me,sixpence none the richer
iris,goo goo dolls
piano man,billy joel
american pie,don mclean
can you feel the love tonight,elton john
wonderwall,oasis
whatta man,salt-n-pepa
i swear,all-4-one
kiss from a rose,seal
friday i'm in love,the cure
call me,blondie
rocket man,elton john
crocodile rock,elton john
cotton eye joe,rednex
peaches,the presidents of the united states
radioactive,imagine dragons
sheep go to heaven,cake
lovefool,the cardigans
gimmie! gimmie! gimmie!,abba
take on me,a-ha
get lucky,daft punk
girls just wanna have fun,cyndi lauper
royals,lorde
love shack,b-52'salt
song 2,blur
gold digger,kanye west
are you gonna be my girl,jet
jessie's girl,bruce springsteen
sweet caroline,neil diamond
thrift shop,macklemore
uptown funk,mark ronson
99 luftballons,nena
tom sawyer,rush
blitzkreig bop,ramones
two princes,spin doctors
i'm too sexy,right said fred
kung fu fighting,
around the word,daft punk
waterfalls,tlc
sex & candy,marcy playground
ice ice baby,vanilla ice
no scrubs,tlc
glycerine,bush
all that she wants,ace of base
gangsta's paradise,coolio
ironic,alanis morissette
linger,the cranberries
jump around,house of pain
push,matchbox twenty
mr brightside,the killers
party in the u.s.a,miley cyrus
sex on fire,kings of leon
american boy,estelle
teenage dirtbag,weezer
prromiscuous,nelly furtado
since u been gone,kelly clarkson
valerie,mark ronson
hips don't lie,shakira
it wasn't me,shaggy
yeah!,usher
low,flo rida
smile,lily allen
crazy,gnarls barkley
crazy in love,beyonce
i kissed a girl,katy perry
stacy's mom,fountains of wayne
maneater,nelly furtado
sk8er boi,avril lavigne
she will be loveod,maroon 5
dynamite,taio cruz
ms. jackson,outkast
tik tok,kesha
toxic,britney spears
in da club,50 cent
temperature,sean paul
somebody told me,the killers
paper planes,m.i.a
love story,taylor swift
a thousand miles,vanessa carlton
poker face,lady gaga
alors on danse,stromae
my name is,eminem
dj got us fallin' in love,usher
rolling in the deep,adele
starboy,the weeknd
love me like you do,ellie goulding
whistle,flo rida
old town road,lil nas x
hotline bling,drake
despacito,luis fonsi
royals,lorde
chandelier,sia
moves like jagger,maroon 5
sorry,justin bieber
smells like teen spirit,nirvana
creep,radiohead
closer,nine inch nails
zombie,the cranberries
losing my religion,r.e.m
been caught stealing,jane's addiction
santeria,sublime
are you gonna go my way,lenny kravitz
sabotage,beastie boys
firestarter,the prodigy
semi-charmed life,third eye blind
fly,sugar ray
all star,smash mouth
no rain,blind melon
hallelujah,jeff buckley
tubthumping,chumbawamba
cannonball,the breeders
everybody hurts,r.e.m
your woman,white town
she don't use jelly,the flaming lips
common people,pulp
santa monica,everclear
the impression that I get,the mighty ymighty bosstones
mrs. robinson,the lemonheads
celebrity skin,hole
criminal,fiona apple
cornflake girl,tori amos
lightning crashes,live
rape me,nirvana
rockafeller skank,fatboy slim
music sounds better with you,stardust
everybody dance now,c&c music factory
do you wanna get funky,c&c music factory
vogue,madonna
the rhythm of the night,corona
things that make you go hmmmm,c&c music factory
where's your head at,basement jaxx
red alert,basement jaxx
sandstorm,darude
we like to party,vengaboys
hey boy hey girl,the chemical brothers
god is a dj,faithless
here comes the hotstepper,ini kamoze
rhythm is a dancer,snap!
pursuit of happiness,kid cudi
sexyback,justin timberlake
bad romance,lady gaga
bonkers,dizee rascal
satisfaction,benny benassi
